,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Wisconsin,Big Ten (West),7,13,1,8.27,14.34,22.61,53.05,-3.02,10.33,4.60,6.33,2.03,7.82,3.15
2,Georgia,SEC (East),2,13,2,9.97,12.50,22.47,54.24,-1.67,10.83,3.73,7.04,2.26,8.38,2.98
3,Ohio State,Big Ten (East),5,12,2,9.81,12.01,21.82,60.35,-0.09,10.26,4.50,6.87,1.61,8.38,2.88
4,Penn State,Big Ten (East),8,11,2,11.03,10.59,21.62,60.84,0.03,10.18,4.85,6.27,2.64,8.22,3.65
5,Alabama,SEC (West),1,13,1,4.67,16.58,21.25,54.96,-4.79,10.20,3.53,6.94,1.60,8.23,2.47
6,Clemson,ACC (Atlantic),4,12,2,5.99,14.63,20.62,53.09,-3.72,8.93,4.01,6.10,1.79,7.40,2.78
7,Notre Dame,Ind,11,10,3,10.24,9.17,19.41,55.02,3.67,8.41,4.26,7.62,2.57,7.99,3.44
8,Oklahoma,Big 12,3,12,2,17.63,1.42,19.05,63.82,9.01,13.37,5.71,6.95,3.49,9.88,4.42
9,Auburn,SEC (West),10,10,4,5.78,12.17,17.95,50.17,-1.23,10.23,3.64,5.93,2.15,7.63,2.85
10,UCF,American (East),6,13,0,14.05,2.85,16.90,58.56,10.72,11.01,6.13,5.92,3.31,8.31,4.68
11,Washington,Pac-12 (North),16,10,3,5.38,10.84,16.22,51.66,0.40,10.05,4.66,5.85,2.20,7.78,3.15
12,Miami (FL),ACC (Coastal),13,10,3,7.05,7.94,14.98,48.53,3.95,9.17,4.97,6.33,2.40,7.79,3.55
13,Texas Christian,Big 12,9,11,3,2.41,12.30,14.71,47.98,-1.22,9.17,5.02,5.48,1.95,7.21,3.25
14,Iowa,Big Ten (West),,8,5,5.84,8.83,14.66,50.01,1.83,8.91,4.49,5.20,3.19,6.84,3.77
15,Michigan State,Big Ten (East),15,10,3,2.27,11.56,13.83,43.59,0.33,8.72,5.04,5.26,2.15,6.83,3.57
16,Michigan,Big Ten (East),,8,5,3.85,9.59,13.44,45.46,1.56,8.26,4.50,5.78,2.26,6.84,3.24
17,Oklahoma State,Big 12,14,10,3,15.09,-2.00,13.09,62.48,13.10,11.29,5.84,5.85,2.98,8.65,4.19
18,USC,Pac-12 (South),12,11,3,7.47,4.91,12.37,49.33,6.99,10.38,5.38,5.75,3.24,8.06,4.06
19,North Carolina State,ACC (Atlantic),23,9,4,8.62,3.54,12.17,50.29,7.83,9.12,5.71,5.91,2.69,7.50,4.16
20,Mississippi State,SEC (West),19,9,4,2.48,9.37,11.85,47.94,4.23,7.87,5.21,6.29,2.53,6.99,3.56
21,LSU,SEC (West),18,9,4,2.88,8.90,11.77,43.73,3.02,10.61,5.02,6.00,2.66,7.74,3.67
22,Wake Forest,ACC (Atlantic),,8,5,10.47,0.95,11.42,53.46,10.11,10.30,5.52,5.83,2.92,7.87,4.16
23,Northwestern,Big Ten (West),17,10,3,2.92,8.44,11.36,47.48,3.32,8.28,5.17,5.23,2.27,6.72,3.77
24,Stanford,Pac-12 (North),20,9,5,5.73,5.11,10.84,49.59,5.33,9.03,5.80,7.10,3.66,8.08,4.45
25,Virginia Tech,ACC (Coastal),24,9,4,-2.54,13.10,10.56,43.23,-1.24,8.91,6.11,4.73,2.45,6.59,3.92
26,Iowa State,Big 12,,8,5,1.93,7.84,9.77,44.64,2.08,8.91,5.39,4.47,2.85,6.84,3.90
27,Purdue,Big Ten (West),,7,6,0.93,8.82,9.74,42.83,1.24,8.47,5.62,5.52,2.19,7.07,3.77
28,Louisville,ACC (Atlantic),,8,5,10.53,-0.85,9.67,55.79,12.18,10.10,6.50,7.61,3.13,8.85,4.50
29,Boston College,ACC (Atlantic),,7,6,2.09,7.30,9.39,44.99,4.33,7.74,4.68,6.06,3.72,6.73,4.01
30,Boise State,MWC (Mountain),22,11,3,6.86,1.80,8.67,47.53,10.40,9.59,5.24,4.88,2.61,7.15,3.77
31,Memphis,American (West),25,10,3,12.29,-3.77,8.52,55.72,16.80,9.22,5.74,6.07,3.46,7.78,4.48
32,Texas,Big 12,,7,6,-0.31,8.52,8.21,43.74,1.36,8.22,5.11,4.62,2.05,6.48,3.42
33,Florida State,ACC (Atlantic),,7,6,-0.49,8.56,8.07,45.17,2.80,8.93,4.25,5.62,2.35,7.10,3.20
34,Florida Atlantic,CUSA (East),,11,3,6.72,1.29,8.01,50.92,13.14,8.99,5.48,6.67,3.65,7.64,4.40
35,South Carolina,SEC (East),,9,4,-0.35,8.13,7.77,40.12,4.26,8.82,5.02,5.07,2.68,6.96,3.76
36,South Florida,American (East),21,10,2,6.97,0.31,7.27,47.16,13.26,8.66,5.51,5.41,2.88,6.70,4.05
37,Duke,ACC (Coastal),,7,6,0.46,6.77,7.23,44.07,5.00,7.44,6.00,5.26,3.09,6.28,4.14
38,Washington State,Pac-12 (North),,9,4,3.04,3.58,6.62,45.65,9.56,8.26,4.64,3.90,3.31,6.95,3.73
39,Georgia Tech,ACC (Coastal),,5,6,6.17,0.21,6.38,47.73,10.48,9.66,5.26,6.69,3.60,7.34,4.33
40,Kansas State,Big 12,,8,5,3.16,2.68,5.84,46.24,8.43,9.75,5.80,5.84,2.92,7.36,4.34
41,Navy,American (West),,7,6,3.06,2.63,5.69,44.07,9.35,10.98,7.33,6.20,3.19,6.90,4.95
42,Utah,Pac-12 (South),,7,6,1.10,3.97,5.07,43.12,6.98,9.14,4.39,4.71,3.14,6.87,3.60
43,San Diego State,MWC (West),,10,3,0.24,4.81,5.05,41.46,8.52,8.42,6.02,6.28,2.76,7.08,4.07
44,West Virginia,Big 12,,7,6,7.77,-2.93,4.84,50.54,14.15,9.59,5.83,5.39,4.32,7.61,4.73
45,Indiana,Big Ten (East),,5,7,2.60,2.14,4.74,45.80,9.84,8.15,5.31,4.81,2.82,6.59,3.79
46,Oregon,Pac-12 (North),,7,6,3.14,1.52,4.66,50.45,12.80,9.59,5.11,6.00,2.84,7.43,3.73
47,Fresno State,MWC (West),,10,4,-2.60,7.07,4.47,41.06,6.81,8.86,5.22,5.41,2.58,7.11,3.81
48,Missouri,SEC (East),,7,6,9.19,-4.91,4.28,54.47,19.57,11.05,6.03,6.37,3.27,8.61,4.48
49,Toledo,MAC (West),,11,3,4.89,-1.07,3.82,46.24,15.47,10.07,6.02,5.68,4.30,7.71,4.94
50,Arizona State,Pac-12 (South),,7,6,5.76,-1.96,3.80,47.20,14.37,9.75,5.88,4.95,3.83,7.13,4.70
51,Army,Ind,,10,3,1.50,2.20,3.69,43.28,10.95,6.20,6.28,6.79,4.66,6.86,5.47
52,Troy,Sun Belt,,11,2,0.73,2.86,3.59,40.82,11.56,8.34,5.97,5.42,2.93,7.07,4.25
53,Minnesota,Big Ten (West),,5,7,-3.22,6.59,3.36,40.61,7.63,8.29,4.94,5.46,4.10,6.45,4.35
54,Texas A&M,SEC (West),,7,6,6.71,-3.35,3.36,48.12,14.92,8.95,5.70,5.05,3.01,6.95,4.10
55,Arizona,Pac-12 (South),,7,6,12.72,-9.55,3.17,55.43,21.51,9.60,6.22,7.40,4.32,8.35,5.01
56,Texas Tech,Big 12,,6,7,6.05,-3.04,3.01,50.47,14.32,9.43,5.22,5.20,3.55,7.51,4.32
57,Ole Miss,SEC (West),,6,6,8.37,-5.60,2.78,48.29,20.62,10.74,5.98,5.44,4.48,8.35,4.96
58,Houston,American (West),,7,5,-1.72,4.36,2.63,38.57,8.02,8.15,5.45,5.08,2.67,6.66,4.13
59,Ohio,MAC (East),,9,4,3.93,-1.94,1.99,48.77,15.84,8.53,5.96,6.18,3.30,7.22,4.63
60,Syracuse,ACC (Atlantic),,4,8,3.46,-1.50,1.96,46.08,15.35,8.26,6.20,5.44,3.98,6.93,4.92
61,Nebraska,Big Ten (West),,4,8,5.95,-4.43,1.52,47.12,17.81,9.27,5.89,5.08,4.62,7.42,5.13
62,Kentucky,SEC (East),,7,6,1.35,-0.05,1.30,41.08,12.60,9.05,5.98,5.41,3.80,6.99,4.72
63,Pitt,ACC (Coastal),,5,7,-1.03,2.24,1.21,40.43,9.32,8.54,6.35,4.99,3.25,6.63,4.71
64,Maryland,Big Ten (East),,4,8,3.26,-2.23,1.03,46.09,18.04,8.13,5.23,6.09,3.56,6.96,4.29
65,Northern Illinois,MAC (West),,8,5,-1.20,2.11,0.91,39.45,11.19,7.33,5.84,4.58,2.39,5.93,3.84
66,Florida,SEC (East),,4,7,-0.94,1.77,0.83,40.34,11.30,8.50,6.06,5.57,3.14,6.92,4.26
67,SMU,American (West),,7,6,8.95,-8.24,0.71,49.84,22.48,8.53,7.52,5.72,4.13,7.19,5.54
68,UCLA,Pac-12 (South),,6,7,6.49,-5.85,0.64,48.38,17.68,9.96,5.23,4.73,4.57,7.79,4.62
69,Appalachian State,Sun Belt,,9,4,-2.37,2.96,0.59,40.82,10.67,8.52,5.76,5.91,3.42,7.07,4.38
70,Wyoming,MWC (Mountain),,8,5,-6.92,6.96,0.04,33.73,6.41,7.66,5.71,3.81,2.79,5.59,3.77
71,Virginia,ACC (Coastal),,6,7,-1.39,1.33,-0.06,39.77,12.72,7.47,5.21,4.29,3.58,6.17,4.22
72,California,Pac-12 (North),,5,7,-0.34,0.18,-0.16,40.91,10.94,8.10,5.84,4.23,3.14,6.38,4.16
73,Temple,American (East),,7,6,-3.41,2.60,-0.81,35.82,12.44,7.84,5.87,4.42,3.33,6.14,4.37
74,Colorado State,MWC (Mountain),,7,6,4.38,-5.25,-0.87,44.26,17.46,9.34,6.58,5.72,4.61,7.58,5.50
75,Marshall,CUSA (East),,8,5,-2.78,1.65,-1.13,37.20,12.17,7.93,6.02,4.58,2.83,6.37,4.17
76,North Carolina,ACC (Coastal),,3,9,-0.52,-1.30,-1.82,43.52,15.59,8.09,6.28,5.26,3.65,6.70,4.64
77,Vanderbilt,SEC (East),,5,7,-1.92,-0.20,-2.11,40.11,16.64,8.95,5.17,4.80,4.11,7.03,4.37
78,Utah State,MWC (Mountain),,6,7,-2.77,0.59,-2.18,41.19,15.82,7.68,5.11,5.28,3.69,6.52,4.17
79,Tulane,American (West),,5,7,-2.43,0.20,-2.24,37.83,13.96,8.44,7.17,5.34,4.32,6.31,5.46
80,Rutgers,Big Ten (East),,4,8,-7.17,4.90,-2.27,37.21,11.22,6.91,5.77,5.51,3.69,6.13,4.45
81,Arkansas State,Sun Belt,,7,5,0.68,-3.10,-2.42,43.35,17.37,8.30,6.53,4.28,3.17,6.53,4.52
82,Louisiana Tech,CUSA (West),,7,6,0.76,-3.20,-2.44,40.66,16.64,8.03,6.06,5.20,4.27,6.64,4.89
83,Arkansas,SEC (West),,4,8,4.20,-6.65,-2.45,45.41,19.66,9.04,6.48,5.74,3.93,7.22,4.90
84,Colorado,Pac-12 (South),,5,7,-2.24,-0.36,-2.61,38.95,13.10,9.02,5.51,4.55,4.66,6.70,4.79
85,Western Michigan,MAC (West),,6,6,4.08,-6.95,-2.87,45.96,20.75,7.75,6.44,5.45,4.16,6.42,5.05
86,Buffalo,MAC (East),,6,6,0.28,-3.20,-2.92,38.18,14.69,9.67,6.90,4.21,3.68,6.93,4.90
87,Tennessee,SEC (East),,4,8,-4.83,1.66,-3.18,36.07,13.41,8.38,4.94,4.61,4.19,6.31,4.36
88,North Texas,CUSA (West),,9,5,6.44,-10.04,-3.60,46.48,24.56,8.88,7.12,4.98,3.85,7.04,5.12
89,Eastern Michigan,MAC (West),,5,7,-3.63,-0.47,-4.09,36.10,12.30,8.04,6.38,4.07,3.45,6.18,4.55
90,Air Force,MWC (Mountain),,5,7,2.55,-7.32,-4.77,45.12,20.32,10.31,7.48,5.66,4.84,6.54,5.80
91,Akron,MAC (East),,7,7,-6.82,2.00,-4.82,33.37,14.71,7.58,5.97,3.70,4.31,5.71,4.95
92,Central Michigan,MAC (West),,8,5,-0.61,-4.42,-5.03,39.27,17.67,8.03,5.44,4.50,3.89,6.43,4.45
93,Southern Mississippi,CUSA (West),,8,5,-3.10,-2.38,-5.49,38.12,17.03,7.94,6.01,5.26,3.21,6.67,4.35
94,UTSA,CUSA (West),,6,5,-8.71,2.92,-5.78,30.39,10.56,7.77,6.23,5.06,3.52,6.32,4.46
95,Miami (OH),MAC (East),,5,7,-4.57,-1.47,-6.04,34.03,15.27,8.24,6.09,4.53,4.07,6.38,4.83
96,Baylor,Big 12,,1,11,-0.59,-5.88,-6.47,41.54,18.30,8.88,6.46,4.61,4.12,6.94,5.01
97,Middle Tennessee State,CUSA (East),,7,6,-4.64,-1.84,-6.48,34.83,15.94,7.95,6.17,4.73,3.17,6.54,4.34
98,Florida International,CUSA (East),,8,5,-2.84,-3.90,-6.75,35.42,20.21,8.39,6.78,4.78,4.22,6.53,5.26
99,Tulsa,American (West),,2,10,0.22,-7.68,-7.46,40.88,22.20,7.92,8.20,5.76,4.85,6.52,6.09
100,Illinois,Big Ten (West),,2,10,-6.84,-1.03,-7.87,33.66,15.01,7.94,5.86,4.50,4.03,6.16,4.57
101,Nevada-Las Vegas,MWC (West),,5,7,0.94,-8.86,-7.92,39.98,22.33,8.40,6.67,6.28,4.58,7.20,5.39
102,BYU,Ind,,4,9,-9.89,1.83,-8.06,29.23,12.05,7.26,6.29,5.04,2.89,6.27,4.21
103,UAB,CUSA (West),,8,5,-3.08,-5.00,-8.08,34.75,19.56,7.38,6.01,4.99,4.11,6.12,4.84
104,New Mexico State,Sun Belt,,7,6,0.39,-9.07,-8.69,38.65,22.24,7.73,6.17,4.62,3.78,6.71,4.77
105,Nevada,MWC (West),,3,9,-1.58,-7.67,-9.25,39.72,21.10,8.23,7.43,4.84,3.62,6.78,5.00
106,Massachusetts,Ind,,4,8,1.75,-11.11,-9.36,40.93,24.18,8.82,6.28,4.47,4.22,6.85,5.07
107,Cincinnati,American (East),,4,8,-5.45,-4.14,-9.59,32.75,18.94,6.61,6.68,5.13,3.75,6.00,4.92
108,New Mexico,MWC (Mountain),,3,9,-7.64,-2.73,-10.38,32.32,18.99,7.17,6.53,5.94,3.84,6.47,5.13
109,Georgia State,Sun Belt,,7,5,-9.21,-1.46,-10.66,28.94,17.91,8.35,6.64,3.75,3.90,6.12,5.15
110,Louisiana-Monroe,Sun Belt,,4,8,6.34,-17.22,-10.88,45.71,31.44,9.70,8.45,5.41,5.20,7.51,6.44
111,Western Kentucky,CUSA (East),,6,7,-3.54,-7.45,-10.99,33.52,21.39,8.39,6.64,2.37,4.09,6.07,5.02
112,Idaho,Sun Belt,,4,8,-11.24,-0.11,-11.35,27.50,15.61,7.71,6.17,3.74,3.68,5.66,4.60
113,South Alabama,Sun Belt,,4,8,-13.54,1.83,-11.71,27.12,15.23,7.55,6.33,3.48,3.83,5.72,4.86
114,Connecticut,American (East),,3,9,-5.15,-7.14,-12.29,33.74,22.00,8.45,7.32,4.23,4.08,6.27,5.62
115,Kansas,Big 12,,1,11,-7.24,-5.11,-12.35,34.86,24.11,7.44,7.22,4.25,3.37,5.98,4.84
116,East Carolina,American (East),,3,9,-1.43,-10.94,-12.37,38.78,32.04,8.04,9.29,4.23,5.21,6.47,6.73
117,Bowling Green State,MAC (East),,2,10,-1.02,-12.09,-13.11,39.18,28.06,7.92,7.12,5.23,5.27,6.62,5.87
118,Oregon State,Pac-12 (North),,1,11,-4.65,-8.92,-13.57,36.27,25.82,8.15,6.52,4.74,4.48,6.44,5.10
119,Hawaii,MWC (West),,3,9,-5.99,-7.77,-13.76,33.11,23.76,7.73,7.95,5.45,4.64,6.72,5.78
120,Old Dominion,CUSA (East),,5,7,-8.57,-5.38,-13.95,29.87,22.38,6.46,6.67,4.92,4.26,5.73,4.99
121,Louisiana,Sun Belt,,5,7,-2.62,-12.89,-15.51,35.61,30.83,7.31,7.52,5.29,4.99,6.34,5.80
122,Georgia Southern,Sun Belt,,2,10,-10.57,-6.26,-16.83,31.09,22.51,7.82,7.42,4.93,4.90,5.75,5.78
123,Coastal Carolina,Sun Belt,,3,9,-7.50,-9.70,-17.20,31.31,25.83,8.00,7.45,4.69,4.02,6.14,5.33
124,Kent State,MAC (East),,2,10,-14.75,-2.92,-17.66,25.13,22.04,7.45,6.80,4.36,4.68,5.46,5.32
125,Rice,CUSA (West),,1,11,-11.72,-6.65,-18.37,28.48,26.29,8.10,7.99,5.19,4.18,6.34,5.61
126,San Jose State,MWC (West),,2,11,-10.41,-7.98,-18.40,29.65,30.76,7.40,6.82,4.22,4.66,5.81,5.25
127,Ball State,MAC (West),,2,10,-11.28,-7.99,-19.27,28.69,31.77,6.30,8.03,4.37,5.06,5.38,6.03
128,Texas State,Sun Belt,,2,10,-12.88,-6.44,-19.31,26.37,25.20,7.29,8.12,3.88,3.42,5.53,5.42
129,Charlotte,CUSA (East),,1,11,-14.14,-6.11,-20.25,24.73,24.58,6.24,7.32,5.40,4.50,5.86,5.44
130,UTEP,CUSA (West),,0,12,-18.77,-4.98,-23.75,21.71,24.04,5.85,6.37,3.86,4.58,4.96,5.01
